domain,file,relPath,extends_AbstractBusinessTool,has_doExecute,factoryId_in_signature,factoryId_ref_count,suspicious_count,risk,reason
material,MaterialBatchReserveTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialBatchReserveTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
material,MaterialBatchSupervisorTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialBatchSupervisorTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
material,MaterialBatchUseTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialBatchUseTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
material,MaterialBatchWipQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialBatchWipQueryTool.java,true,true,true,10,0,LOW,"factoryId 被使用 10 次，无可疑模式"
material,MaterialBatchWorkersTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialBatchWorkersTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
workdesk,MaterialDisposalRecommendationTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/workdesk/MaterialDisposalRecommendationTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
material,MaterialExpiredQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialExpiredQueryTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
material,MaterialExpiringAlertTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialExpiringAlertTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
material,MaterialFifoRecommendTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialFifoRecommendTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
material,MaterialInventoryOutboundTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialInventoryOutboundTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
material,MaterialLowStockAlertTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialLowStockAlertTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
material,MaterialMarkAbacaTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialMarkAbacaTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
material,MaterialPendingQuantityTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialPendingQuantityTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
material,MaterialProcessingCurrentStepTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialProcessingCurrentStepTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
material,MaterialProcessingStepTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialProcessingStepTool.java,true,true,true,4,0,LOW,"factoryId 被使用 4 次，无可疑模式"
material,MaterialProductionLineStartTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialProductionLineStartTool.java,true,true,true,4,0,LOW,"factoryId 被使用 4 次，无可疑模式"
material,MaterialRejectionReasonTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialRejectionReasonTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
factory,MaterialRequisitionCloseTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/factory/MaterialRequisitionCloseTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
factory,MaterialRequisitionGenerateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/factory/MaterialRequisitionGenerateTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
factory,MaterialRequisitionQueryPendingTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/factory/MaterialRequisitionQueryPendingTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
material,MaterialStockSummaryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialStockSummaryTool.java,true,true,true,4,0,LOW,"factoryId 被使用 4 次，无可疑模式"
workdesk,MaterialTodayReceivingQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/workdesk/MaterialTodayReceivingQueryTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
material,MaterialUpdateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialUpdateTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
material,MaterialWorkerCountTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialWorkerCountTool.java,true,true,true,5,0,LOW,"factoryId 被使用 5 次，无可疑模式"
system,NavigateOutOfDomainTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/system/NavigateOutOfDomainTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
notify,NotifyLogQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/notify/NotifyLogQueryTool.java,true,true,true,5,0,LOW,"factoryId 被使用 5 次，无可疑模式"
notify,NotifySendTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/notify/NotifySendTool.java,true,true,true,8,0,LOW,"factoryId 被使用 8 次，无可疑模式"
